Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=2183, episode=300, episodic_return=4.000
global_step=2189, episode=301, episodic_return=5.000
global_step=2193, episode=302, episodic_return=3.000
global_step=2198, episode=303, episodic_return=4.000
global_step=2204, episode=304, episodic_return=5.000
global_step=2211, episode=305, episodic_return=6.000
global_step=2223, episode=306, episodic_return=11.000
global_step=2230, episode=307, episodic_return=6.000
global_step=2235, episode=308, episodic_return=4.000
global_step=2239, episode=309, episodic_return=3.000
global_step=2244, episode=310, episodic_return=4.000
global_step=2255, episode=311, episodic_return=10.000
global_step=2262, episode=312, episodic_return=6.000
global_step=2272, episode=313, episodic_return=9.000
global_step=2278, episode=314, episodic_return=5.000
global_step=2287, episode=315, episodic_return=8.000
global_step=2291, episode=316, episodic_return=3.000
global_step=2296, episode=317, episodic_return=4.000
global_step=2302, episode=318, episodic_return=5.000
global_step=2307, episode=319, episodic_return=4.000
global_step=2311, episode=320, episodic_return=3.000
global_step=2328, episode=321, episodic_return=16.000
global_step=2333, episode=322, episodic_return=4.000
global_step=2339, episode=323, episodic_return=5.000
global_step=2351, episode=324, episodic_return=11.000
global_step=2358, episode=325, episodic_return=6.000
global_step=2364, episode=326, episodic_return=5.000
global_step=2370, episode=327, episodic_return=5.000
global_step=2378, episode=328, episodic_return=7.000
global_step=2382, episode=329, episodic_return=3.000
global_step=2386, episode=330, episodic_return=3.000
global_step=2391, episode=331, episodic_return=4.000
global_step=2396, episode=332, episodic_return=4.000
global_step=2401, episode=333, episodic_return=4.000
global_step=2406, episode=334, episodic_return=4.000
global_step=2410, episode=335, episodic_return=3.000
global_step=2419, episode=336, episodic_return=8.000
global_step=2425, episode=337, episodic_return=5.000
global_step=2451, episode=338, episodic_return=25.000
global_step=2467, episode=339, episodic_return=15.000
global_step=2474, episode=340, episodic_return=6.000
global_step=2481, episode=341, episodic_return=6.000
global_step=2497, episode=342, episodic_return=15.000
global_step=2506, episode=343, episodic_return=8.000
global_step=2524, episode=344, episodic_return=17.000
global_step=2528, episode=345, episodic_return=3.000
