Job ID: 10484947
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id Hopper-v4   --run-id 10484947   --seed 1   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=13290, episode=318, episodic_return=67.368
global_step=13396, episode=319, episodic_return=240.713
global_step=13505, episode=320, episodic_return=253.399
global_step=13601, episode=321, episodic_return=216.942
global_step=13696, episode=322, episodic_return=212.512
global_step=13787, episode=323, episodic_return=203.423
global_step=13893, episode=324, episodic_return=235.701
global_step=13983, episode=325, episodic_return=189.658
global_step=14093, episode=326, episodic_return=241.694
global_step=14201, episode=327, episodic_return=241.757
global_step=14296, episode=328, episodic_return=212.269
global_step=14397, episode=329, episodic_return=214.742
global_step=14479, episode=330, episodic_return=168.682
global_step=14584, episode=331, episodic_return=241.186
global_step=14687, episode=332, episodic_return=230.211
global_step=14784, episode=333, episodic_return=208.203
global_step=14876, episode=334, episodic_return=200.632
global_step=14981, episode=335, episodic_return=213.084
global_step=15071, episode=336, episodic_return=188.409
global_step=15167, episode=337, episodic_return=202.009
global_step=15249, episode=338, episodic_return=169.277
global_step=15326, episode=339, episodic_return=154.714
global_step=15424, episode=340, episodic_return=212.965
global_step=15516, episode=341, episodic_return=193.994
global_step=15609, episode=342, episodic_return=201.457
global_step=15704, episode=343, episodic_return=202.284
global_step=15810, episode=344, episodic_return=226.181
global_step=15927, episode=345, episodic_return=225.373
global_step=16035, episode=346, episodic_return=247.217
global_step=16130, episode=347, episodic_return=202.398
global_step=16238, episode=348, episodic_return=221.610
global_step=16331, episode=349, episodic_return=200.348
global_step=16432, episode=350, episodic_return=212.137
global_step=16547, episode=351, episodic_return=224.414
global_step=16757, episode=352, episodic_return=312.534
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-16757_episode-352.mp4
    -> New best: episodic_return=312.534
global_step=16906, episode=353, episodic_return=257.991
global_step=17131, episode=354, episodic_return=376.923
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-17131_episode-354.mp4
    -> New best: episodic_return=376.923
global_step=17330, episode=355, episodic_return=303.545
global_step=17453, episode=356, episodic_return=101.024
global_step=17585, episode=357, episodic_return=242.674
global_step=17836, episode=358, episodic_return=382.989
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-17836_episode-358.mp4
    -> New best: episodic_return=382.989
global_step=17944, episode=359, episodic_return=82.817
global_step=18029, episode=360, episodic_return=167.128
global_step=18143, episode=361, episodic_return=211.083
global_step=18244, episode=362, episodic_return=211.398
global_step=18350, episode=363, episodic_return=237.903
global_step=18376, episode=364, episodic_return=23.721
global_step=18504, episode=365, episodic_return=289.832
global_step=18600, episode=366, episodic_return=193.569
global_step=18759, episode=367, episodic_return=324.968
global_step=18785, episode=368, episodic_return=31.886
global_step=18866, episode=369, episodic_return=159.232
global_step=18949, episode=370, episodic_return=152.414
global_step=19074, episode=371, episodic_return=312.082
global_step=19123, episode=372, episodic_return=79.315
global_step=19209, episode=373, episodic_return=157.980
global_step=19292, episode=374, episodic_return=172.178
global_step=19346, episode=375, episodic_return=94.383
global_step=19461, episode=376, episodic_return=253.387
global_step=19507, episode=377, episodic_return=76.090
global_step=19591, episode=378, episodic_return=166.991
global_step=19681, episode=379, episodic_return=200.872
global_step=19765, episode=380, episodic_return=166.370
global_step=19839, episode=381, episodic_return=138.272
global_step=19919, episode=382, episodic_return=135.135
global_step=20009, episode=383, episodic_return=200.684
global_step=20056, episode=384, episodic_return=63.922
global_step=20148, episode=385, episodic_return=195.218
global_step=20254, episode=386, episodic_return=235.490
global_step=20361, episode=387, episodic_return=230.716
global_step=20461, episode=388, episodic_return=208.942
global_step=20490, episode=389, episodic_return=28.107
global_step=20607, episode=390, episodic_return=235.862
global_step=20697, episode=391, episodic_return=193.897
global_step=20792, episode=392, episodic_return=199.640
global_step=20897, episode=393, episodic_return=216.796
global_step=20990, episode=394, episodic_return=196.280
global_step=21088, episode=395, episodic_return=207.940
global_step=21182, episode=396, episodic_return=206.201
global_step=21288, episode=397, episodic_return=215.536
global_step=21397, episode=398, episodic_return=220.239
global_step=21499, episode=399, episodic_return=205.261
global_step=21598, episode=400, episodic_return=203.698
global_step=21694, episode=401, episodic_return=211.851
global_step=21801, episode=402, episodic_return=223.428
global_step=21910, episode=403, episodic_return=227.280
global_step=22042, episode=404, episodic_return=315.748
global_step=22147, episode=405, episodic_return=217.028
global_step=22248, episode=406, episodic_return=209.315
global_step=22331, episode=407, episodic_return=162.003
global_step=22434, episode=408, episodic_return=214.503
global_step=22530, episode=409, episodic_return=197.878
global_step=22642, episode=410, episodic_return=227.316
global_step=22746, episode=411, episodic_return=221.628
global_step=22838, episode=412, episodic_return=197.773
global_step=22935, episode=413, episodic_return=202.545
global_step=23029, episode=414, episodic_return=194.055
global_step=23129, episode=415, episodic_return=210.085
global_step=23205, episode=416, episodic_return=155.290
global_step=23312, episode=417, episodic_return=222.862
global_step=23346, episode=418, episodic_return=55.251
global_step=23439, episode=419, episodic_return=192.847
global_step=23543, episode=420, episodic_return=215.685
global_step=23636, episode=421, episodic_return=190.686
global_step=23727, episode=422, episodic_return=183.016
global_step=23837, episode=423, episodic_return=218.551
global_step=23924, episode=424, episodic_return=177.119
global_step=23945, episode=425, episodic_return=15.026
global_step=24044, episode=426, episodic_return=207.445
global_step=24136, episode=427, episodic_return=191.575
global_step=24263, episode=428, episodic_return=315.578
global_step=24350, episode=429, episodic_return=189.583
global_step=24455, episode=430, episodic_return=224.264
global_step=24552, episode=431, episodic_return=196.721
global_step=24648, episode=432, episodic_return=199.401
global_step=24751, episode=433, episodic_return=213.794
global_step=24850, episode=434, episodic_return=205.664
global_step=24959, episode=435, episodic_return=251.832
global_step=25045, episode=436, episodic_return=177.820
global_step=25139, episode=437, episodic_return=200.040
global_step=25235, episode=438, episodic_return=202.724
global_step=25341, episode=439, episodic_return=248.794
global_step=25368, episode=440, episodic_return=20.189
global_step=25464, episode=441, episodic_return=217.283
global_step=25565, episode=442, episodic_return=220.150
global_step=25662, episode=443, episodic_return=215.909
global_step=25763, episode=444, episodic_return=229.966
global_step=25854, episode=445, episodic_return=206.737
global_step=25950, episode=446, episodic_return=216.827
global_step=26046, episode=447, episodic_return=220.380
global_step=26139, episode=448, episodic_return=211.714
global_step=26238, episode=449, episodic_return=210.442
global_step=26334, episode=450, episodic_return=222.147
global_step=26430, episode=451, episodic_return=220.913
global_step=26522, episode=452, episodic_return=198.998
global_step=26614, episode=453, episodic_return=209.869
global_step=26710, episode=454, episodic_return=216.844
global_step=26807, episode=455, episodic_return=223.989
global_step=26908, episode=456, episodic_return=241.859
global_step=27080, episode=457, episodic_return=503.493
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-27080_episode-457.mp4
    -> New best: episodic_return=503.493
global_step=27179, episode=458, episodic_return=233.525
global_step=27273, episode=459, episodic_return=213.129
global_step=27365, episode=460, episodic_return=208.131
global_step=27514, episode=461, episodic_return=437.163
global_step=27617, episode=462, episodic_return=250.105
global_step=27713, episode=463, episodic_return=210.083
global_step=27822, episode=464, episodic_return=272.169
global_step=27918, episode=465, episodic_return=222.114
global_step=28023, episode=466, episodic_return=251.685
global_step=28124, episode=467, episodic_return=239.520
global_step=28225, episode=468, episodic_return=247.644
global_step=28338, episode=469, episodic_return=289.562
global_step=28467, episode=470, episodic_return=354.391
global_step=28594, episode=471, episodic_return=295.313
global_step=28709, episode=472, episodic_return=267.031
global_step=28858, episode=473, episodic_return=435.756
global_step=28982, episode=474, episodic_return=258.478
global_step=29081, episode=475, episodic_return=225.562
global_step=29221, episode=476, episodic_return=358.649
global_step=29343, episode=477, episodic_return=330.307
global_step=29568, episode=478, episodic_return=629.232
